name,title,medium,year,size,sale,sold,estimate
Marc Chagall,"Autour du ""Peintre à la palette et au coq, 1960""",oil and tempera on board,1966,Height 7.9 in.; Width 9.6 in. / Height 20 cm.; Width 24.4 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00788]
Impressionist and Modern Art Day Sale","237,500 USD Premium","120,000 - 180,000 USD ?"
André Masson,Nu éclairé par le feu,oil on canvas,1942,Height 18.3 in.; Width 15.1 in. / Height 46.4 cm.; Width 38.3 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00766]
Impressionist and Modern Art Day Sale","16,250 USD Premium","15,000 - 20,000 USD ?"
Alexej von Jawlensky,Abstrakter Kopf,oil on board,1927,Height 14.2 in.; Width 10.2 in. / Height 36.1 cm.; Width 26 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00819]
Impressionist and Modern Art Day Sale","300,000 USD Premium","200,000 - 300,000 USD ?"
Pierre Eugène Montézin,Paysage,oil on canvas,Height 23.7 in.; Width 28.9 in. / Height 60.3 cm.; Width 73.4 cm.,Signed,"10,000 - 15,000 USD ?",,"8,750 USD Premium ?"
Armand Guillaumin,"Les Dunes, Ile de Ré",oil on canvas,Circa 1892,Height 15.7 in.; Width 25.6 in. / Height 40 cm.; Width 65.1 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00851]
Impressionist and Modern Art Day Sale",Bought In,"25,000 - 35,000 USD ?"
Georges d' Espagnat,La paisible journée,oil on canvas,1903,Height 86.6 in.; Width 114.8 in. / Height 220 cm.; Width 291.5 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00842]
Impressionist and Modern Art Day Sale","37,500 USD Premium","40,000 - 60,000 USD ?"
Louis Valtat,Bouquet de dahlias et pommes,oil on canvas,Circa 1940,Height 11 in.; Width 21.6 in. / Height 28 cm.; Width 54.9 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00852]
Impressionist and Modern Art Day Sale","37,500 USD Premium","12,000 - 18,000 USD ?"
Henri Lebasque,La lecture au jardin,oil on canvas,Height 18.1 in.; Width 15 in. / Height 46 cm.; Width 38.1 cm.,Signed,"20,000 - 30,000 USD ?",,"43,750 USD Premium ?"
Louis Valtat,Bouquet de fleurs,oil on board,Height 10.7 in.; Width 8.5 in. / Height 27.3 cm.; Width 21.6 cm.,Signed,"20,000 - 30,000 USD ?",,"93,750 USD Premium ?"
Pablo Picasso,Nature morte,oil on canvas,1947,Height 4.7 in.; Width 7.1 in. / Height 12 cm.; Width 18 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00741]
Impressionist and Modern Art Day Sale","500,000 USD Premium","300,000 - 500,000 USD ?"
André Masson,La Tabatière,oil on canvas,1924,Height 9.5 in.; Width 7.5 in. / Height 24.1 cm.; Width 19 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00742]
Impressionist and Modern Art Day Sale","18,750 USD Premium","20,000 - 30,000 USD ?"
Henri Charles Manguin,Le Raincy,oil on canvas,Circa 1899-1900,Height 15.9 in.; Width 13 in. / Height 40.5 cm.; Width 33 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00729]
Impressionist and Modern Art Day Sale","27,500 USD Premium","15,000 - 20,000 USD ?"
Armand Guillaumin,Abreuvoir à Epinay-Le-Breuil,oil on canvas,1889,Height 28.9 in.; Width 25.2 in. / Height 73.5 cm.; Width 63.9 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00733]
Impressionist and Modern Art Day Sale","43,750 USD Premium","30,000 - 50,000 USD ?"
Louis Valtat,Bouquet de fleurs,oil on canvas,Height 21.5 in.; Width 18.1 in. / Height 54.7 cm.; Width 45.9 cm.,"Signed, Stamped","30,000 - 50,000 USD ?",,"60,000 USD Premium ?"
Édouard Vuillard,Madame Hessel en robe noir,oil on board,Circa 1906,Height 26.1 in.; Width 14.4 in. / Height 66.4 cm.; Width 36.5 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00512]
Impressionist and Modern Art Works on Paper Sale",Bought In,"50,000 - 70,000 USD ?"
Kurt Schwitters,Ohne Titel (Merzbild mit Holzspänen),"gouache, pencil, wood shavings, paper and nails assemblage on panel laid down on panel",1937-1938,Height 8.7 in.; Width 6.8 in. / Height 22.2 cm.; Width 17.2 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00574]
Impressionist and Modern Art Works on Paper Sale",Bought In,"70,000 - 90,000 USD ?"
Marc Chagall,Chèvre et coq,"pastel, inkwash and brush and India ink on paper laid down on canvas",1953,Height 12.6 in.; Width 10.6 in. / Height 32 cm.; Width 27 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00521]
Impressionist and Modern Art Works on Paper Sale","212,500 USD Premium","120,000 - 180,000 USD ?"
Pierre-Auguste Renoir,Paysage avec femme en bleu et Zaza à Cagnes,oil on canvas,1919,Height 10.4 in.; Width 11.3 in. / Height 26.3 cm.; Width 28.8 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00707]
Impressionist and Modern Art Day Sale","562,500 USD Premium","150,000 - 200,000 USD ?"
Henry Moret,Pêcheurs au large,oil on canvas,1902,Height 17.7 in.; Width 32 in. / Height 45 cm.; Width 81.3 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00703]
Impressionist and Modern Art Day Sale","68,750 USD Premium","70,000 - 100,000 USD ?"
André Lhote,Nu lisant,oil on canvas,Circa 1930,Height 16.1 in.; Width 13 in. / Height 41 cm.; Width 33 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00864]
Impressionist and Modern Art Day Sale","20,000 USD Premium","15,000 - 20,000 USD ?"
Jean-Pierre Cassigneul,Madame Candelier,oil and charcoal on canvas,1978,Height 32 in.; Width 23.7 in. / Height 81.2 cm.; Width 60.3 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00866]
Impressionist and Modern Art Day Sale","17,500 USD Premium","7,000 - 10,000 USD ?"
Pierre-Auguste Renoir,Paysage,oil on canvas,Circa 1905,Height 8.5 in.; Width 10.2 in. / Height 21.5 cm.; Width 26 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00835]
Impressionist and Modern Art Day Sale","325,000 USD Premium","120,000 - 180,000 USD ?"
Marino Marini,Il Giocoliere,oil on canvas,1960,Height 58.8 in.; Width 47.2 in. / Height 149.3 cm.; Width 120 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00811]
Impressionist and Modern Art Day Sale",Bought In,"500,000 - 700,000 USD ?"
Bernard Buffet,Fleurs dans une lampe à pétrole,oil on canvas,1952,Height 19.8 in.; Width 23.9 in. / Height 50.2 cm.; Width 60.7 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00785]
Impressionist and Modern Art Day Sale","75,000 USD Premium","40,000 - 60,000 USD ?"
Marc Chagall,Village natal,oil on board,1954,Height 11.8 in.; Width 11 in. / Height 29.9 cm.; Width 28 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00794]
Impressionist and Modern Art Day Sale","275,000 USD Premium","200,000 - 300,000 USD ?"
Georges Braque,Cruche et pigeon,oil on canvas,1956,Height 15.7 in.; Width 24.8 in. / Height 40 cm.; Width 63 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00786]
Impressionist and Modern Art Day Sale",Bought In,"180,000 - 250,000 USD ?"
Alberto Giacometti,Nu debout,oil on unstretched canvas,Circa 1946,Height 9.4 in.; Width 2.9 in. / Height 23.9 cm.; Width 7.3 cm.,"80,000 - 120,000 USD ?",,"75,000 USD Premium ?"
Paul Sérusier,Walkyrie au repos,oil on canvas,1906,Height 23.3 in.; Width 36.4 in. / Height 59.3 cm.; Width 92.4 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00828]
Impressionist and Modern Art Day Sale","112,500 USD Premium","100,000 - 150,000 USD ?"
Jean Metzinger,Nu couché,oil on canvas,Height 28.9 in.; Width 21.3 in. / Height 73.5 cm.; Width 54 cm.,Signed,"100,000 - 150,000 USD ?",,"100,000 USD Premium ?"
Jean Dufy,Place Pigalle,oil on canvas,Height 18.1 in.; Width 21.8 in. / Height 46 cm.; Width 55.3 cm.,Signed,"25,000 - 35,000 USD ?",,"35,000 USD Premium ?"
Henri Le Sidaner,"La table, harmonie grise",oil on canvas,1927,Height 36.2 in.; Width 28.9 in. / Height 92 cm.; Width 73.5 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00718]
Impressionist and Modern Art Day Sale","237,500 USD Premium","250,000 - 350,000 USD ?"
Marc Chagall,"Etude pour ""Le Baou de Saint-Jeannet""",oil on board,1969,Height 14.3 in.; Width 11.8 in. / Height 36.2 cm.; Width 30 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00782]
Impressionist and Modern Art Day Sale","300,000 USD Premium","150,000 - 200,000 USD ?"
Pierre Bonnard,Femme pensive au corsage bleu,oil on canvas,Circa 1916,Height 21.9 in.; Width 18.4 in. / Height 55.5 cm.; Width 46.7 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00830]
Impressionist and Modern Art Day Sale",Bought In,"120,000 - 180,000 USD ?"
Jean Dufy,La Seine,oil on canvas,Height 18.3 in.; Width 21.9 in. / Height 46.5 cm.; Width 55.5 cm.,Signed,"40,000 - 60,000 USD ?",,"118,750 USD Premium ?"
Henry Moret,Bateaux dans la rade,oil on canvas,Height 7.9 in.; Width 10.4 in. / Height 20.1 cm.; Width 26.5 cm.,Signed,"20,000 - 30,000 USD ?",,"75,000 USD Premium ?"
Pierre-Auguste Renoir,Melon et tomates,oil on canvas,1903,Height 18.3 in.; Width 21.8 in. / Height 46.5 cm.; Width 55.3 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00722]
Impressionist and Modern Art Day Sale","750,000 USD Premium","600,000 - 800,000 USD ?"
Édouard Vuillard,"Le salon des Hessels, Rue de Rivoli",oil on board,Circa 1905,Height 13.9 in.; Width 22.9 in. / Height 35.2 cm.; Width 58.1 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00841]
Impressionist and Modern Art Day Sale","52,500 USD Premium","50,000 - 70,000 USD ?"
Paul Sérusier,Nature morte au potiron,oil on canvas,1908,Height 23.7 in.; Width 36.2 in. / Height 60.3 cm.; Width 92 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00723]
Impressionist and Modern Art Day Sale","87,500 USD Premium","50,000 - 70,000 USD ?"
Odilon Redon,Bouquet de fleurs dans un vase,oil on canvas,Height 11 in.; Width 8.9 in. / Height 28 cm.; Width 22.5 cm.,Signed,"150,000 - 200,000 USD ?",,"187,500 USD Premium ?"
Henri Charles Manguin,Voiliers à marée basse,oil on canvas,1931,Height 13.1 in.; Width 16.1 in. / Height 33.3 cm.; Width 41 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00853]
Impressionist and Modern Art Day Sale","20,000 USD Premium","20,000 - 30,000 USD ?"
Henri Lebasque,Vendanges dans la vallée du Faron,oil on canvas,1923,Height 23.6 in.; Width 28.7 in. / Height 60 cm.; Width 73 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00730]
Impressionist and Modern Art Day Sale","237,500 USD Premium","50,000 - 70,000 USD ?"
Jean Dufy,Les Toreros,oil on canvas,Circa 1950,Height 13.1 in.; Width 21.7 in. / Height 33.2 cm.; Width 55.2 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00860]
Impressionist and Modern Art Day Sale","37,500 USD Premium","25,000 - 35,000 USD ?"
André Lhote,Paysage,oil on canvas,Circa 1937,Height 10.7 in.; Width 18.1 in. / Height 27.3 cm.; Width 46 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00862]
Impressionist and Modern Art Day Sale","21,250 USD Premium","8,000 - 12,000 USD ?"
Louis Valtat,Femme aux raisins,oil on canvas,1900,Height 39.4 in.; Width 31.9 in. / Height 100.2 cm.; Width 81 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00856]
Impressionist and Modern Art Day Sale",Bought In,"20,000 - 30,000 USD ?"
André Masson,La vie d'une fleur,oil and ripolin on panel,1957,Height 18 in.; Width 21.8 in. / Height 45.7 cm.; Width 55.3 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00770]
Impressionist and Modern Art Day Sale","25,000 USD Premium","10,000 - 15,000 USD ?"
Henri Charles Manguin,"Paysage aux baigneuses, Colombier",oil on canvas,1917,Height 32 in.; Width 39.6 in. / Height 81.2 cm.; Width 100.5 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00732]
Impressionist and Modern Art Day Sale","312,500 USD Premium","150,000 - 200,000 USD ?"
Henri Matisse,Paysage du Midi,oil on canvas,1923,Height 15.3 in.; Width 18.3 in. / Height 38.9 cm.; Width 46.4 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00728]
Impressionist and Modern Art Day Sale","562,500 USD Premium","400,000 - 600,000 USD ?"
Eugène Boudin,"Le Havr e, e ntré e du port",oil on canvas,1891,Height 18.3 in.; Width 25.7 in. / Height 46.4 cm.; Width 65.2 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00706]
Impressionist and Modern Art Day Sale","187,500 USD Premium","120,000 - 180,000 USD ?"
Moïse Kisling,Sagunto,oil on canvas,1916,Height 32 in.; Width 39.4 in. / Height 81.4 cm.; Width 100 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00736]
Impressionist and Modern Art Day Sale","200,000 USD Premium","80,000 - 120,000 USD ?"
Henri Jean Guillaume Martin,Le balcon de Jaurès,oil on canvas,Circa 1915,Height 32 in.; Width 25.6 in. / Height 81.4 cm.; Width 65 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00717]
Impressionist and Modern Art Day Sale","250,000 USD Premium","80,000 - 120,000 USD ?"
Henri Jean Guillaume Martin,Chèvre dans un champ de fleurs,oil on panel,Height 12.6 in.; Width 16.3 in. / Height 32 cm.; Width 41.5 cm.,Signed,"8,000 - 12,000 USD ?",,"68,750 USD Premium ?"
Eugène Boudin,"Le Havre, le bassin des docks",oil on panel,1885,Height 12.6 in.; Width 18.1 in. / Height 32.1 cm.; Width 45.9 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00714]
Impressionist and Modern Art Day Sale","125,000 USD Premium","80,000 - 120,000 USD ?"
Léo Gausson,Triel-sur-Seine,oil on canvas,1888,Height 10.9 in.; Width 16.2 in. / Height 27.8 cm.; Width 41.2 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00701]
Impressionist and Modern Art Day Sale","62,500 USD Premium","10,000 - 15,000 USD ?"
Eugène Boudin,"Anvers, bateaux sur l'escaut",oil on cradled panel,1871,Height 8.3 in.; Width 14.1 in. / Height 21 cm.; Width 35.9 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00833]
Impressionist and Modern Art Day Sale","52,500 USD Premium","40,000 - 60,000 USD ?"
Joan Miró,Le serpent glisse vers l’azur parsemé de flèches,oil on canvas,1954,Height 10.8 in.; Width 19.8 in. / Height 27.5 cm.; Width 50.2 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00755]
Impressionist and Modern Art Day Sale","2,790,000 USD Premium","1,000,000 - 1,500,000 USD ?"
Eugène Boudin,"Trouville, les jetées, marée basse",oil on cradled panel,1891,Height 14.8 in.; Width 18 in. / Height 37.5 cm.; Width 45.8 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00837]
Impressionist and Modern Art Day Sale","62,500 USD Premium","70,000 - 100,000 USD ?"
Gustave Cariot,Verger fleuri,oil on canvas,1904,Height 32.3 in.; Width 46.1 in. / Height 82 cm.; Width 117 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00850]
Impressionist and Modern Art Day Sale","60,000 USD Premium","20,000 - 30,000 USD ?"
Suzanne Valadon,Nu à la draperie,oil on canvas,1921,Height 28.7 in.; Width 21.3 in. / Height 73 cm.; Width 54 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00731]
Impressionist and Modern Art Day Sale","475,000 USD Premium","50,000 - 70,000 USD ?"
Suzanne Valadon,Eglise de vieux moulin près Compiègne,oil on canvas,1914,Height 25.6 in.; Width 21.5 in. / Height 65 cm.; Width 54.5 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00700]
Impressionist and Modern Art Day Sale","32,500 USD Premium","20,000 - 30,000 USD ?"
Eugène Boudin,"Trouville, Scène de plage",oil on cradled panel,1874,Height 4.6 in.; Width 10.6 in. / Height 11.8 cm.; Width 27 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00709]
Impressionist and Modern Art Day Sale","237,500 USD Premium","150,000 - 200,000 USD ?"
André Brasilier,Cavalcade dans la Pampa,oil on canvas,2007,Height 28.7 in.; Width 39.5 in. / Height 73 cm.; Width 100.4 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00863]
Impressionist and Modern Art Day Sale","87,500 USD Premium","40,000 - 60,000 USD ?"
Moïse Kisling,Portrait de femme,oil on canvas,Circa 1949,Height 16.1 in.; Width 10.7 in. / Height 41 cm.; Width 27.3 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00865]
Impressionist and Modern Art Day Sale","32,500 USD Premium","20,000 - 30,000 USD ?"
André Derain,La chapelle-sous-Crécy,oil on canvas,Circa 1910,Height 14.8 in.; Width 21.7 in. / Height 37.7 cm.; Width 55.1 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00744]
Impressionist and Modern Art Day Sale","150,000 USD Premium","100,000 - 150,000 USD ?"
Eugène Boudin,La rentrée du troupeau,oil on canvas,1856,Height 17.5 in.; Width 24.7 in. / Height 44.5 cm.; Width 62.8 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00840]
Impressionist and Modern Art Day Sale","30,000 USD Premium","30,000 - 50,000 USD ?"
Eugène Boudin,"Le rivage de Trouville, marée basse",oil on canvas,Circa 1880-1885,Height 16.5 in.; Width 21.9 in. / Height 42 cm.; Width 55.5 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00721]
Impressionist and Modern Art Day Sale","93,750 USD Premium","70,000 - 100,000 USD ?"
André Derain,Buste de femme,oil on board laid down on cradled panel,1904,Height 26.1 in.; Width 20.9 in. / Height 66.4 cm.; Width 53 cm.,"Christie's New York: Saturday, November 13, 2021 [Lot 00735]
Impressionist and Modern Art Day Sale","137,500 USD Premium","200,000 - 300,000 USD ?"
Cecily Brown,As Like As Like Can Be,oil on canvas,2014,Height 17.1 in.; Width 12.5 in. / Height 43.5 cm.; Width 31.8 cm.,"Christie's New York: Friday, November 12, 2021 [Lot 00101]
Post-War and Contemporary Art Day Sale","400,000 USD Premium","120,000 - 180,000 USD ?"
Keith Haring,Untitled,oil and acrylic on shaped canvas,1985,Width 36 in.; Depth 36 in. / Width 91.4 cm.; Depth 91.4 cm.,"Christie's New York: Friday, November 12, 2021 [Lot 00114]
Post-War and Contemporary Art Day Sale","1,470,000 USD Premium","900,000 - 1,200,000 USD ?"
Alice Neel,Snow Scene,oil on canvas,Circa 1930-1939,Height 22 in.; Width 18 in. / Height 55.9 cm.; Width 45.7 cm.,"100,000 - 150,000 USD ?",,"475,000 USD Premium ?"
Richard Prince,Untitled (de Kooning),"acrylic, oilstick, inkjet, paperboard and tape collage on canvas",2005-2006,Height 99 in.; Width 121 in. / Height 251.5 cm.; Width 307.3 cm.,"Christie's New York: Friday, November 12, 2021 [Lot 00321]
Post-War and Contemporary Art Day Sale","625,000 USD Premium","500,000 - 700,000 USD ?"
Andy Warhol,Sidney Janis [Eight Works],"acrylic and silkscreen ink on canvas, in eight parts",1967,Height 8 in.; Width 8 in. / Height 20.3 cm.; Width 20.3 cm.,"Christie's New York: Friday, November 12, 2021 [Lot 00197]
Post-War and Contemporary Art Day Sale","325,000 USD Premium","200,000 - 300,000 USD ?"
Sean Scully,Small Chelsea Wall of Light #6,oil on canvas,2000,Height 18 in.; Width 24 in. / Height 45.7 cm.; Width 61 cm.,"Christie's New York: Friday, November 12, 2021 [Lot 00210]
Post-War and Contemporary Art Day Sale","550,000 USD Premium","150,000 - 200,000 USD ?"
Andy Warhol,Tom Seaver,acrylic and silkscreen ink on canvas,1977,Height 40 in.; Width 40 in. / Height 101.6 cm.; Width 101.6 cm.,"Christie's New York: Friday, November 12, 2021 [Lot 00196]
Post-War and Contemporary Art Day Sale","500,000 USD Premium","150,000 - 200,000 USD ?"
Theodoros Stamos,Baalbek Terrace,oil on canvas,1959-1960,Height 69.9 in.; Width 70.2 in. / Height 177.6 cm.; Width 178.2 cm.,"Christie's New York: Friday, November 12, 2021 [Lot 00251]
Post-War and Contemporary Art Day Sale","118,750 USD Premium","80,000 - 120,000 USD ?"
